container_id,container_name,cpu_percent,mem_percent
56e5f5afa86e,with-agent-protect,2.14%,1.22%
56e5f5afa86e,with-agent-protect,0.59%,1.22%
56e5f5afa86e,with-agent-protect,0.62%,1.22%
56e5f5afa86e,with-agent-protect,0.64%,1.22%
56e5f5afa86e,with-agent-protect,0.66%,1.22%
56e5f5afa86e,with-agent-protect,18.99%,1.23%
56e5f5afa86e,with-agent-protect,36.59%,1.24%
56e5f5afa86e,with-agent-protect,16.60%,1.24%
56e5f5afa86e,with-agent-protect,15.32%,1.24%
56e5f5afa86e,with-agent-protect,18.44%,1.25%
56e5f5afa86e,with-agent-protect,36.62%,1.21%
56e5f5afa86e,with-agent-protect,15.78%,1.22%
56e5f5afa86e,with-agent-protect,15.33%,1.22%
56e5f5afa86e,with-agent-protect,16.88%,1.22%
56e5f5afa86e,with-agent-protect,15.58%,1.22%
56e5f5afa86e,with-agent-protect,17.03%,1.22%
56e5f5afa86e,with-agent-protect,13.55%,1.22%
56e5f5afa86e,with-agent-protect,14.37%,1.22%
56e5f5afa86e,with-agent-protect,35.60%,1.22%
56e5f5afa86e,with-agent-protect,15.15%,1.22%
56e5f5afa86e,with-agent-protect,17.73%,1.22%
56e5f5afa86e,with-agent-protect,15.90%,1.22%
56e5f5afa86e,with-agent-protect,14.45%,1.22%
56e5f5afa86e,with-agent-protect,14.86%,1.22%
56e5f5afa86e,with-agent-protect,13.09%,1.22%
56e5f5afa86e,with-agent-protect,14.57%,1.22%
56e5f5afa86e,with-agent-protect,23.91%,1.23%
56e5f5afa86e,with-agent-protect,13.58%,1.22%
56e5f5afa86e,with-agent-protect,13.01%,1.22%
56e5f5afa86e,with-agent-protect,14.32%,1.22%
56e5f5afa86e,with-agent-protect,14.57%,1.22%
56e5f5afa86e,with-agent-protect,13.54%,1.22%
56e5f5afa86e,with-agent-protect,13.68%,1.22%
56e5f5afa86e,with-agent-protect,13.58%,1.22%
56e5f5afa86e,with-agent-protect,13.77%,1.22%
56e5f5afa86e,with-agent-protect,14.37%,1.22%
56e5f5afa86e,with-agent-protect,14.96%,1.22%
56e5f5afa86e,with-agent-protect,14.32%,1.22%
56e5f5afa86e,with-agent-protect,14.01%,1.22%
56e5f5afa86e,with-agent-protect,13.84%,1.22%
56e5f5afa86e,with-agent-protect,15.19%,1.22%
56e5f5afa86e,with-agent-protect,13.35%,1.22%
56e5f5afa86e,with-agent-protect,13.44%,1.22%
56e5f5afa86e,with-agent-protect,15.91%,1.22%
56e5f5afa86e,with-agent-protect,15.34%,1.22%
56e5f5afa86e,with-agent-protect,16.41%,1.22%
56e5f5afa86e,with-agent-protect,15.66%,1.22%
56e5f5afa86e,with-agent-protect,13.51%,1.22%
56e5f5afa86e,with-agent-protect,14.55%,1.22%
56e5f5afa86e,with-agent-protect,14.84%,1.22%
56e5f5afa86e,with-agent-protect,15.35%,1.23%
56e5f5afa86e,with-agent-protect,14.24%,1.22%
56e5f5afa86e,with-agent-protect,14.73%,1.22%
56e5f5afa86e,with-agent-protect,14.34%,1.22%
56e5f5afa86e,with-agent-protect,16.19%,1.22%
56e5f5afa86e,with-agent-protect,15.16%,1.23%
